name,developer,publisher,release date,rating,24hour-peak-user,
Counter-Strike: Global Offensive,Valve,Valve,"August 21, 2012 ??17:00:00 UTC (7 years ago)",? 87,"798,325",
PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,PUBG Corporation,"December 21, 2017 ??08:05:00 UTC (2 years ago)",? 53,"610,738",
Dota 2,Valve,Valve,"July 9, 2013 ??17:00:00 UTC (7 years ago)",? 84,"593,481",
MONSTER HUNTER: WORLD,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","August 9, 2018 ??15:57:00 UTC (about a year ago)",? 78,"272,565",
Grand Theft Auto V,Rockstar North,Rockstar Games,"April 13, 2015 ??23:00:00 UTC (5 years ago)",? 76,"177,789",
Tom Clancy's Rainbow Six Siege,Store Name Tom Clancy's Rainbow Six® Siege,"Developer
Ubisoft Montreal","December 1, 2015 ??18:00:00 UTC (4 years ago)",? 85,"133,312",
Destiny 2,Bungie,Bungie,"October 1, 2019 ??17:00:00 UTC (3 months ago)",? 88,"96,971",
The Witcher 3: Wild Hunt,Store Name The Witcher® 3: Wild Hunt,"Developer
CD PROJEKT RED","May 18, 2015 ??22:00:00 UTC (5 years ago)",? 96,"74,689",
Rust,Facepunch Studios,Facepunch Studios,"February 8, 2018 ??17:52:34 UTC (2 years ago)",? 81,"72,744",
Football Manager 2020,Sports Interactive,SEGA,"November 19, 2019 ??17:00:00 UTC (2 months ago)",? 82,"66,703",
Team Fortress 2,Valve,Valve,"October 10, 2007 ??07:00:00 UTC (12 years ago)",? 93,"68,541",
ARK: Survival Evolved,Studio Wildcard,Studio Wildcard,"August 29, 2017 ??15:08:00 UTC (2 years ago)",? 72,"63,952",
Path of Exile,Grinding Gear Games,Grinding Gear Games,"October 23, 2013 ??17:00:00 UTC (6 years ago)",? 91,"65,060",
Warframe,Digital Extremes,Digital Extremes,"March 25, 2013 ??18:04:00 UTC (7 years ago)",? 90,"51,690",
Rocket League,Store Name Rocket League®,"Developer
Psyonix LLC","July 7, 2015 ??06:59:00 UTC (5 years ago)",? 89,"70,035",
Sid Meier's Civilization VI,Store Name Sid Meier?�s Civilization® VI,"Developer
Firaxis Games","October 21, 2016 ??04:00:00 UTC (3 years ago)",? 74,"40,922",
Garry's Mod,Facepunch Studios,Valve,"November 29, 2006 ??08:00:00 UTC (13 years ago)",? 95,"40,240",
Terraria,Re-Logic,Re-Logic,"May 16, 2011 ??17:52:00 UTC (9 years ago)",? 96,"39,404",
Red Dead Redemption 2,Rockstar Games,Rockstar Games,"December 5, 2019 ??17:00:00 UTC (about a month ago)",? 66,"38,923",
Total War: WARHAMMER II,CREATIVE ASSEMBLY,SEGA,"September 28, 2017 ??07:00:00 UTC (2 years ago)",? 89,"33,469",
Euro Truck Simulator 2,SCS Software,SCS Software,"October 12, 2012 (7 years ago)",? 96,"32,311",
